Swestr
Resultat 2021-09-01 - 2024-04-02
Datum;Publiceringstid;Publiceringstyp;Swestr (%);Volym (MSEK);Antal transaktioner;Antal rapportörer;Ränta vid övre trimningsgräns (%);Ränta vid nedre trimningsgräns (%);Beräkningsmetod;Anledning till alternativ beräkningsmetod
2021-09-01;2021-09-02 11:00;Första;-0,104;32942;39;6;-0,20;0,00;Normal;
2021-09-02;2021-09-03 11:00;Första;-0,096;30762;40;6;-0,15;0,00;Normal;
2021-09-03;2021-09-06 11:00;Första;-0,101;29849;41;6;-0,20;0,00;Normal;
2021-09-06;2021-09-07 11:00;Första;-0,109;31594;40;5;-0,20;0,00;Normal;
2021-09-07;2021-09-08 11:00;Första;-0,104;27221;35;5;-0,20;0,00;Normal;
2021-09-08;2021-09-09 11:00;Första;-0,100;28636;39;4;-0,15;0,00;Normal;
2021-09-09;2021-09-10 11:00;Första;-0,110;32349;40;6;-0,16;0,00;Normal;
2021-09-10;2021-09-13 11:00;Första;-0,108;40292;42;6;-0,16;-0,10;Normal;
2021-09-13;2021-09-14 11:00;Första;-0,102;51470;39;6;-0,15;-0,10;Normal;
2021-09-14;2021-09-15 11:00;Första;-0,100;51667;37;5;-0,10;-0,10;Normal;
2021-09-15;2021-09-16 11:00;Första;-0,115;40349;39;5;-0,16;-0,10;Normal;
2021-09-16;2021-09-17 11:00;Första;-0,113;34799;43;6;-0,16;0,00;Normal;
2021-09-17;2021-09-20 11:00;Första;-0,112;37916;41;6;-0,16;-0,10;Normal;
2021-09-20;2021-09-21 11:00;Första;-0,112;35440;40;6;-0,16;-0,10;Normal;
2021-09-21;2021-09-22 11:00;Första;-0,112;38986;37;5;-0,16;-0,10;Normal;
2021-09-22;2021-09-23 11:00;Första;-0,103;45458;39;6;-0,15;-0,10;Normal;
2021-09-23;2021-09-24 11:00;Första;-0,103;38083;48;6;-0,16;-0,10;Normal;
2021-09-24;2021-09-27 11:00;Första;-0,106;33974;51;6;-0,16;-0,10;Normal;
2021-09-27;2021-09-28 11:00;Första;-0,106;35969;45;6;-0,16;-0,10;Normal;
2021-09-28;2021-09-29 11:00;Första;-0,107;34311;48;6;-0,16;-0,10;Normal;
2021-09-29;2021-09-30 11:00;Första;-0,106;34384;45;6;-0,16;-0,10;Normal;
2021-09-30;2021-10-01 11:00;Första;-0,111;39714;47;6;-0,16;-0,10;Normal;
2021-10-01;2021-10-04 11:00;Första;-0,109;35103;43;6;-0,19;-0,10;Normal;
2021-10-04;2021-10-05 11:00;Första;-0,102;37261;41;6;-0,16;0,00;Normal;
2021-10-05;2021-10-06 11:00;Första;-0,101;31628;40;6;-0,16;0,00;Normal;
2021-10-06;2021-10-07 11:00;Första;-0,104;30583;38;6;-0,16;0,00;Normal;
2021-10-07;2021-10-08 11:00;Första;-0,106;31881;37;6;-0,16;0,00;Normal;
2021-10-08;2021-10-11 11:00;Första;-0,113;28598;39;6;-0,16;0,00;Normal;
2021-10-11;2021-10-12 11:00;Första;-0,115;30743;40;6;-0,16;0,00;Normal;
2021-10-12;2021-10-13 11:00;Första;-0,115;29766;38;6;-0,20;0,00;Normal;
2021-10-13;2021-10-14 11:00;Första;-0,118;27893;34;6;-0,20;0,00;Normal;
2021-10-14;2021-10-15 11:00;Första;-0,107;24729;35;6;-0,16;0,00;Normal;
2021-10-15;2021-10-18 11:00;Första;-0,105;24740;36;5;-0,20;0,00;Normal;
2021-10-18;2021-10-19 11:00;Första;-0,109;14695;27;4;-0,20;0,00;Normal;
2021-10-19;2021-10-20 11:00;Första;-0,108;30499;40;5;-0,20;0,00;Normal;
2021-10-20;2021-10-21 11:00;Första;-0,105;38920;43;7;-0,16;-0,07;Normal;
2021-10-21;2021-10-22 11:00;Första;-0,108;37468;44;7;-0,20;-0,07;Normal;
2021-10-22;2021-10-25 11:00;Första;-0,109;39922;53;6;-0,20;-0,07;Normal;
2021-10-25;2021-10-26 11:00;Första;-0,110;45014;58;7;-0,20;-0,07;Normal;
2021-10-26;2021-10-27 11:00;Första;-0,108;41876;54;7;-0,16;-0,07;Normal;
2021-10-27;2021-10-28 11:00;Första;-0,110;41728;48;7;-0,16;-0,07;Normal;
2021-10-28;2021-10-29 11:00;Första;-0,109;40087;49;7;-0,16;-0,07;Normal;
2021-10-29;2021-11-01 11:00;Första;-0,099;39178;46;6;-0,16;0,00;Normal;
2021-11-01;2021-11-02 11:00;Första;-0,103;34385;39;6;-0,16;0,00;Normal;
2021-11-02;2021-11-03 11:00;Första;-0,111;34015;43;7;-0,20;-0,07;Normal;
2021-11-03;2021-11-04 11:00;Första;-0,115;33484;42;5;-0,20;-0,10;Normal;
2021-11-04;2021-11-05 11:00;Första;-0,119;33212;35;5;-0,20;-0,10;Normal;
2021-11-05;2021-11-08 11:00;Första;-0,118;32997;39;6;-0,20;-0,10;Normal;
2021-11-08;2021-11-09 11:00;Första;-0,116;31427;36;6;-0,20;0,00;Normal;
2021-11-09;2021-11-10 11:00;Första;-0,114;31850;34;5;-0,20;0,00;Normal;
2021-11-10;2021-11-11 11:00;Första;-0,120;28073;32;5;-0,20;0,00;Normal;
2021-11-11;2021-11-12 11:00;Första;-0,124;32674;36;5;-0,20;-0,10;Normal;
2021-11-12;2021-11-15 11:00;Första;-0,115;48402;36;5;-0,20;-0,10;Normal;
2021-11-15;2021-11-16 11:00;Första;-0,108;48305;38;6;-0,17;-0,10;Normal;
2021-11-16;2021-11-17 11:00;Första;-0,108;52496;39;6;-0,17;-0,10;Normal;
2021-11-17;2021-11-18 11:00;Första;-0,108;56706;39;6;-0,17;-0,10;Normal;
