symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GOOG,2023-01-03 05:00:00+00:00,89.89,91.55,89.05,89.69,356727.0,3638.0,89.986801
GOOG,2023-01-04 05:00:00+00:00,91.02,91.24,87.85,88.69,728126.0,4787.0,88.630759
GOOG,2023-01-05 05:00:00+00:00,87.97,88.2,86.56,86.79,768375.0,4923.0,87.316245
GOOG,2023-01-06 05:00:00+00:00,87.46,88.46,85.58,88.14,347313.0,4632.0,87.221037
GOOG,2023-01-09 05:00:00+00:00,89.15,90.79,88.59,88.78,629104.0,6151.0,89.838236
GOOG,2023-01-10 05:00:00+00:00,86.82,89.465,86.75,89.25,499403.0,5530.0,88.67907
GOOG,2023-01-11 05:00:00+00:00,90.1,92.32,89.82,92.25,445460.0,4456.0,91.381097
GOOG,2023-01-12 05:00:00+00:00,92.42,92.61,90.58,91.88,447127.0,4437.0,91.921174
GOOG,2023-01-13 05:00:00+00:00,91.61,92.96,90.93,92.79,499176.0,4388.0,92.004853
GOOG,2023-01-17 05:00:00+00:00,92.87,92.93,90.86,92.16,502252.0,5284.0,91.906992
GOOG,2023-01-18 05:00:00+00:00,92.955,93.575,91.405,91.8,343198.0,3271.0,92.285196
GOOG,2023-01-19 05:00:00+00:00,91.58,94.395,91.51,93.91,713882.0,6003.0,93.416949
GOOG,2023-01-20 05:00:00+00:00,95.91,99.4,95.91,99.26,1218883.0,9406.0,98.088302
GOOG,2023-01-23 05:00:00+00:00,99.15,101.38,98.78,101.21,852180.0,7576.0,100.600848
GOOG,2023-01-24 05:00:00+00:00,99.56,101.05,98.7,99.19,791159.0,7220.0,99.874951
GOOG,2023-01-25 05:00:00+00:00,97.02,97.7,95.3,96.71,483583.0,5174.0,96.205292
GOOG,2023-01-26 05:00:00+00:00,98.23,99.2,96.82,99.17,859266.0,6466.0,98.501198
GOOG,2023-01-27 05:00:00+00:00,99.01,101.56,99.01,100.69,1058113.0,6316.0,100.457751
GOOG,2023-01-30 05:00:00+00:00,98.74,99.34,97.595,97.96,457291.0,4439.0,98.318504
GOOG,2023-01-31 05:00:00+00:00,97.86,99.89,97.82,99.89,342533.0,3231.0,99.059133
GOOG,2023-02-01 05:00:00+00:00,99.89,102.17,98.43,101.41,570009.0,5182.0,100.20909
GOOG,2023-02-02 05:00:00+00:00,106.81,108.81,106.56,108.69,1385682.0,11997.0,107.751512
GOOG,2023-02-03 05:00:00+00:00,103.49,108.0,103.33,105.2,806623.0,6225.0,105.711947
GOOG,2023-02-06 05:00:00+00:00,102.6,104.68,102.22,103.475,497891.0,6829.0,103.384802
GOOG,2023-02-07 05:00:00+00:00,103.68,108.66,103.56,108.03,919152.0,9204.0,105.859207
GOOG,2023-02-08 05:00:00+00:00,102.64,103.56,98.48,100.015,2042085.0,14790.0,100.179563
GOOG,2023-02-09 05:00:00+00:00,100.52,100.56,93.88,95.55,3763236.0,23450.0,95.28415
GOOG,2023-02-10 05:00:00+00:00,95.765,97.0,94.54,94.82,1562598.0,10754.0,95.341812
GOOG,2023-02-13 05:00:00+00:00,95.01,95.34,94.05,94.97,1444096.0,9836.0,94.748924
GOOG,2023-02-14 05:00:00+00:00,94.69,95.17,92.65,94.945,795295.0,5581.0,94.139229
GOOG,2023-02-15 05:00:00+00:00,94.78,97.33,94.37,97.09,776562.0,8082.0,95.96019
GOOG,2023-02-16 05:00:00+00:00,95.56,97.86,94.99,95.77,753428.0,5894.0,96.639314
