symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2023-01-03 05:00:00+00:00,148.655,149.96,141.0,143.16,781290.0,9571.0,143.505942
NVDA,2023-01-04 05:00:00+00:00,145.68,148.49,142.49,147.49,849020.0,9115.0,146.16872
NVDA,2023-01-05 05:00:00+00:00,144.87,145.6,141.5,142.7,567008.0,7508.0,143.058872
NVDA,2023-01-06 05:00:00+00:00,144.7,150.09,140.34,148.6,735783.0,9788.0,145.95949
NVDA,2023-01-09 05:00:00+00:00,153.17,160.46,151.52,156.38,900099.0,12068.0,157.937959
NVDA,2023-01-10 05:00:00+00:00,154.86,159.61,154.83,159.13,579534.0,7744.0,157.434938
NVDA,2023-01-11 05:00:00+00:00,158.405,160.16,155.71,160.07,649407.0,7907.0,158.188048
NVDA,2023-01-12 05:00:00+00:00,161.11,166.34,154.93,165.14,1055887.0,12749.0,162.190722
NVDA,2023-01-13 05:00:00+00:00,162.42,169.22,161.67,168.96,732697.0,9982.0,166.784854
NVDA,2023-01-17 05:00:00+00:00,169.0,177.23,169.0,176.99,918410.0,12491.0,174.806295
NVDA,2023-01-18 05:00:00+00:00,176.755,178.705,172.83,173.745,928608.0,10580.0,175.302255
NVDA,2023-01-19 05:00:00+00:00,170.41,171.97,167.32,167.645,969621.0,11204.0,169.506675
NVDA,2023-01-20 05:00:00+00:00,170.18,178.45,168.27,178.38,1049505.0,11994.0,174.265183
NVDA,2023-01-23 05:00:00+00:00,180.68,192.435,178.21,191.91,1109207.0,11937.0,188.219924
NVDA,2023-01-24 05:00:00+00:00,188.34,194.83,188.29,192.59,534661.0,7589.0,191.515885
NVDA,2023-01-25 05:00:00+00:00,189.07,193.66,185.8,193.34,937467.0,10396.0,189.59209
NVDA,2023-01-26 05:00:00+00:00,197.19,201.41,192.8,197.98,930152.0,11436.0,196.345104
NVDA,2023-01-27 05:00:00+00:00,194.59,206.28,194.14,203.57,1044397.0,12530.0,201.750344
NVDA,2023-01-30 05:00:00+00:00,199.62,201.34,191.52,191.63,919502.0,10990.0,195.749139
NVDA,2023-01-31 05:00:00+00:00,191.75,196.82,189.53,195.42,986153.0,11558.0,193.936613
