"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-01","2.2",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"12.8",",,W","9.4",",,W","  310",",,W","  250",",,W","5.8",",,W","8.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-02","1.6",",,W",,,"0.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"13.3",",,W","9.4",",,W","  230",",,W","  240",",,W","4.5",",,W","7.2",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-03","1.4",",,W",,,"10.7",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"14.4",",,W","8.3",",,W","  250",",,W","  250",",,W","4.0",",,W","6.7",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-04","2.0",",,W",,,"0.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"18.9",",,W","9.4",",,W","  240",",,W","  240",",,W","5.8",",,W","9.8",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-05","2.3",",,W",,,"0.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"10.0",",,W","6.7",",,W","   60",",,W","   50",",,W","5.8",",,W","6.7",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-06","2.4",",,W",,,"6.9",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"9.4",",,W","3.9",",,W","  280",",,W","  270",",,W","5.8",",,W","9.4",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-07","3.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.2",",,W","2.8",",,W","  310",",,W","  320",",,W","5.8",",,W","8.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-08","2.1",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.0",",,W","0.6",",,W","  300",",,W","  220",",,W","5.4",",,W","7.6",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-09","2.0",",,W",,,"0.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.7",",,W","2.8",",,W","  310",",,W","  310",",,W","6.3",",,W","8.5",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-10","1.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.0",",,W","3.3",",,W","   10",",,W","  280",",,W","5.4",",,W","6.3",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-11","2.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"3.9",",,W","1.7",",,W","   70",",,W","   50",",,W","6.3",",,W","8.5",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-12","2.2",",,W",,,"7.6",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"12.8",",,W","2.8",",,W","  140",",,W","  130",",,W","5.8",",,W","9.8",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-13","3.2",",,W",,,"2.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"13.9",",,W","3.3",",,W","  310",",,W","  310",",,W","7.2",",,W","10.7",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-14","4.0",",,W",,,"0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"3.3",",,W","-0.5",",,W","  360",",,W","   30",",,W","7.6",",,W","12.5",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-15","4.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.0",",,W","-1.0",",,W","  340",",,W","   30",",,W","8.1",",,W","13.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-16","3.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.9",",,W","-2.1",",,W","  340",",,W","   10",",,W","7.2",",,W","11.2",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-17","1.4",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.3",",,W","1.7",",,W","  240",",,W","  240",",,W","5.4",",,W","8.5",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-18","3.4",",,W",,,"1.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.7",",,W","5.6",",,W","  310",",,W","  310",",,W","8.1",",,W","12.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-19","1.9",",,W",,,"22.1",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.7",",,W","4.4",",,W","   60",",,W","  100",",,W","6.3",",,W","8.1",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-20","3.0",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"9.4",",,W","4.4",",,W","  280",",,W","  280",",,W","7.2",",,W","12.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-21","2.5",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.6",",,W","2.8",",,W","  300",",,W","  300",",,W","6.7",",,W","9.8",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-22","2.1",",,W",,,"13.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.6",",,W","2.2",",,W","   60",",,W","  170",",,W","5.8",",,W","7.2",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-23","3.4",",,W",,,"10.4",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"3.9",",,W","2.2",",,W","  300",",,W","  310",",,W","8.9",",,W","13.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-24","3.1",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.8",",,W","1.7",",,W","  310",",,W","  290",",,W","8.9",",,W","12.5",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-25","2.7",",,W",,,"22.9",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"12.2",",,W","1.7",",,W","  160",",,W","  150",",,W","7.2",",,W","13.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-26","4.0",",,W",,,"11.2",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"13.9",",,W","5.0",",,W","  280",",,W","  280",",,W","8.9",",,W","14.3",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-27","2.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.7",",,W","1.7",",,W","  230",",,W","  240",",,W","5.8",",,W","9.8",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-28","3.2",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.1",",,W","2.2",",,W","  220",",,W","  230",",,W","8.1",",,W","14.3",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-29","2.1",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.7",",,W","5.6",",,W","  240",",,W","  210",",,W","5.4",",,W","8.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-30","1.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"12.8",",,W","6.1",",,W","  220",",,W","  220",",,W","4.5",",,W","7.2",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-01-31","1.9",",,W",,,"1.5",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"10.0",",,W","-0.5",",,W","   10",",,W","   10",",,W","5.4",",,W","7.6",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-02-01","2.5",",,W",,,"0.5",",,W,2400","10.0",",,W,2400","0.0","T,,W,2400",,,"3.3",",,W","-3.2",",,W","  290",",,W","  270",",,W","5.4",",,W","7.2",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-02-02","2.2",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"4.4",",,W","-1.6",",,W","  240",",,W","  250",",,W","7.2",",,W","11.6",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-02-03","5.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"1.7",",,W","-11.6",",,W","  310",",,W","  310",",,W","13.0",",,W","19.2",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-02-04","3.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"-2.7",",,W","-16.0",",,W","  300",",,W","  300",",,W","9.8",",,W","15.7",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-02-05","1.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"9.4",",,W","-2.7",",,W","  230",",,W","  240",",,W","6.3",",,W","10.3",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-02-06","2.2",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.1",",,W","1.1",",,W","   30",",,W","  360",",,W","7.6",",,W","11.6",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2023-02-07","2.2",",,W",,,"0.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.1",",,W","-1.0",",,W","  220",",,W","   40",",,W","5.4",",,W","8.5",",,W",,,,,,,,,,,,
